evolution$generation,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,zombies,halfRescued,rescued,pursued,evolution$samples
5300,20,9,0.9985534550798124,0.6659621720772491,9.0,65.0,98.0,23792.0,1
5300,40,8,0.9803141223786151,0.9891375967595928,131.0,82.0,78.0,15590.0,1
5300,8,10,0.9425195296328281,0.45205780499468157,163.0,84.0,87.0,15906.0,1
5300,9,10,0.9975958242913285,0.9653317720021855,17.0,73.0,193.0,6478.0,9
5300,18,9,0.9855557651463636,1.0,148.0,44.0,54.0,15932.0,1
5300,38,2,0.9993484991081288,0.5421111774791036,0.0,123.0,145.0,9164.0,1
5300,44,9,0.9726765942124778,0.8381663321527426,136.0,47.0,46.0,18181.0,1
5300,11,9,0.9973379667525131,0.7621750469891158,55.0,57.0,159.0,12284.0,1
5300,7,9,0.9209532055581462,1.0,51.0,91.0,201.0,4800.0,3
5300,79,9,0.9721912828283016,0.9807309235773045,41.0,192.0,125.0,13325.0,1
5300,30,4,0.9819707222951612,0.52405482298869,55.0,70.0,132.0,13262.0,1
5300,11,8,0.9887475211461191,0.9025660622699976,22.0,121.0,201.0,6039.0,1
5300,3,0,0.9540207043398209,0.49087240272660826,122.0,59.0,116.0,9877.0,1
5300,17,4,1.0,0.7106838013049743,0.0,104.0,201.0,6745.0,3
5300,70,9,0.9948545478014617,0.45,0.0,71.0,122.0,11935.0,1
5300,38,6,0.9839527168885416,0.5997540712307126,105.0,88.0,73.0,16658.0,1
5300,5,6,0.9178312308031469,0.5209954705143993,152.0,63.0,101.0,8989.0,1
5300,60,3,0.8379498795774621,0.45,122.0,73.0,124.0,6784.0,1
5300,2,6,0.9999603082216942,0.9578445954895956,58.0,83.0,126.0,21700.0,1
5300,2,4,1.0,0.6003950939866417,40.0,59.0,141.0,13360.0,1
5300,3,1,0.8631703168830795,0.5714326042508174,150.0,59.0,101.0,9543.0,1
5300,78,7,0.8,0.6759511104378503,157.0,71.0,88.0,10564.0,14
5300,54,1,0.9824882145461311,0.9094067853136316,3.5,123.0,180.0,5091.5,2
5300,1,6,0.9860951041859096,0.8029225211702522,117.5,57.5,132.0,5809.0,2
5300,2,4,0.9975110168369674,0.8527884216295718,136.0,57.0,54.0,21219.0,1
5300,15,9,0.9893907320810718,0.8766341472753361,22.0,71.0,207.0,5853.0,1
5300,74,6,1.0,0.639355422955681,0.0,106.0,134.0,6927.0,1
5300,1,3,1.0,0.9417519373008452,36.0,58.0,193.0,5832.0,1
5300,3,9,0.9990195962497463,0.7435800846861289,79.0,56.0,93.0,20963.0,3
5300,48,10,0.8827512121271317,0.7964294213404612,117.5,76.0,121.0,8065.5,18
5300,4,7,0.9992362143164255,0.9039617484340794,60.0,88.0,88.0,20384.0,1
5300,77,5,1.0,0.45,0.0,92.5,168.0,1659.0,10
5300,6,3,1.0,1.0,2.0,70.0,148.0,22069.0,9
5300,13,3,1.0,0.6572506466380243,0.0,130.0,203.0,7615.0,1
5300,70,1,0.9587945360325559,0.8150725708407702,38.0,105.0,169.0,6154.0,1
5300,62,9,1.0,0.9775121629787367,0.0,118.0,162.0,5344.0,7
5300,75,8,1.0,0.8563203859928712,0.0,86.0,137.0,4936.0,3
5300,54,10,0.9454285389058152,0.9338346205933955,94.5,102.0,121.0,10756.5,2
5300,1,8,1.0,0.7838476016512508,105.0,83.0,98.0,17406.0,3
5300,73,8,0.9123404164111573,0.8114697142808034,131.0,94.0,105.0,11511.0,3
5300,64,8,0.8154509629264165,1.0,97.0,58.0,148.0,5945.0,1
5300,13,3,0.9971286537210011,0.5263224058856433,26.0,56.0,150.0,18640.0,1
5300,54,10,1.0,0.9491809055949443,0.0,144.5,154.5,6067.5,2
5300,28,2,0.9994538859411467,0.9283903774965763,0.0,143.0,99.0,19365.0,1
5300,7,6,0.9995830299657065,0.894063378661172,26.0,45.0,147.0,15021.0,1
5300,2,10,0.8018028599674992,0.6160741590956387,114.0,129.0,138.0,12746.0,1
5300,38,10,1.0,0.9999245280218441,0.0,74.0,148.0,7724.0,5
5300,19,10,0.9938460910064577,0.9933377406936288,23.0,107.5,169.5,11198.0,2
5300,30,8,0.9973644484729491,0.595202437966959,4.0,135.0,172.5,6808.5,2
5300,27,8,0.9938702840900537,0.9634519321464039,48.0,93.0,83.0,20147.0,1
5300,4,4,0.9999999799361553,0.8276615383622887,8.0,84.0,194.0,9195.0,3
5300,19,9,0.983418833310646,0.46601801971718143,82.0,89.0,150.0,11444.0,1
5300,4,6,0.9993735880572348,1.0,37.0,64.0,169.5,15111.0,2
5300,3,2,0.9992667055189157,0.7394201884608275,59.0,74.0,138.0,20773.0,3
5300,77,7,0.996446698571303,0.643497236042101,0.0,137.0,115.0,6984.0,1
5300,6,10,1.0,0.9063262407036792,76.0,38.0,74.0,24890.0,1
5300,28,5,0.9996888098715501,0.8355288867488935,0.0,139.0,95.0,16189.0,1
5300,59,3,0.8119169332580993,0.45,103.0,92.0,143.5,6417.5,4
5300,4,1,0.9999423506307742,0.8850491603910128,32.0,86.0,128.0,21583.0,1
5300,68,9,0.9883041342592207,0.7747584884781602,19.0,87.5,113.0,15732.5,4
5300,45,4,0.9583618846970019,0.4731642955541583,44.0,94.0,164.0,8840.0,5
5300,4,7,1.0,0.8660181177327941,46.0,64.0,73.0,26657.0,1
5300,6,1,1.0,0.7075426384798834,24.0,95.0,104.0,24099.0,1
5300,63,2,1.0,0.9864947857783635,0.0,138.0,185.0,521.0,2
5300,7,8,0.843352754403597,0.7081280785582554,135.0,56.5,117.5,7499.0,2
5300,6,5,1.0,0.6984721226655961,35.5,68.0,65.5,28013.0,2
5300,4,0,0.9996296081311731,0.49101320981458435,46.0,54.0,153.0,20813.0,3
5300,1,1,0.9997491315273019,0.6557053039192181,66.5,72.0,149.5,13960.5,16
5300,6,0,0.999999560051906,0.48170931440138776,18.0,47.0,74.0,26011.0,1
5300,9,10,0.9925781802009618,1.0,99.0,78.0,113.0,10272.0,3
5300,29,2,0.9388583645993488,1.0,73.0,59.0,177.0,6488.0,1
5300,50,10,0.8,0.48416137341588145,192.0,95.0,58.0,15381.0,1
5300,12,8,0.8,0.45,50.0,58.0,202.0,2805.0,1
5300,22,7,0.9846998492766241,0.6761109475716948,98.5,75.5,96.5,16469.5,2
5300,55,6,0.9742862795356209,0.9769392016461602,120.0,88.5,72.5,17074.0,2
5300,79,10,0.9138601667362343,0.7478071191440765,121.5,74.5,104.5,12101.5,4
5300,69,5,0.9536128440401015,0.9050187041190372,77.0,105.0,156.0,7430.0,3
5300,80,10,0.982691418811393,0.6402714175259047,45.0,101.0,99.0,16744.0,1
5300,29,8,0.9999397873578926,0.5304727837200716,1.0,78.0,80.0,18620.0,1
5300,10,8,0.9978126383086944,0.5822403262948752,17.0,70.0,79.0,31115.0,1
5300,62,4,0.92353935098109,0.9442260911765694,93.0,92.5,139.0,9212.5,6
5300,77,8,0.9999671848881059,0.6866689819638807,0.0,86.0,138.0,6641.0,9
5300,41,0,1.0,0.6480159466231457,0.0,95.0,204.0,796.0,13
5300,3,8,0.9291769426965316,0.6599021806958421,79.0,105.0,173.5,7795.0,2
