evolution$generation,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,zombiesArray,rescuedArray,humansDynamicArray,evolution$samples
4200,5,0.7906801487550392,0.721999840610131,3.0,100.0,2106.0,25
4200,0,0.8302940220207653,0.4704439810219635,3.0,103.0,2191.0,38
4200,1,0.8054702633893371,0.586741180304394,3.0,109.5,2147.5,38
4200,10,0.7264027276482714,0.45,3.0,92.0,2090.5,22
4200,5,0.9629648628534987,0.45,2.5,57.0,1946.5,2
4200,10,0.8201170310142823,0.6586956554560693,3.0,110.0,1977.0,19
4200,10,0.7305796027636522,0.7442950418427978,3.0,96.0,1344.0,3
4200,7,0.7471932871167182,0.5691382229011708,3.0,107.0,2168.0,27
4200,0,0.8190084764001813,0.5595507155018892,2.0,65.5,2001.0,2
4200,6,0.8186198086504654,0.993168066975707,3.0,112.0,1947.0,11
4200,0,0.7767016314067778,0.557417574855078,3.0,106.0,2044.0,11
4200,1,0.8287738028463544,0.5505273633901581,3.0,108.0,2040.5,20
4200,4,0.7632090080529312,0.6751846364597827,3.0,102.0,2209.0,53
4200,6,0.7238872467694677,0.45691842612839634,3.0,109.0,2201.0,39
4200,1,0.8008570104742925,0.6128611668596556,2.5,62.0,1917.0,2
4200,0,0.990508497932016,0.7825629023962095,3.5,57.5,1624.5,2
4200,5,0.9994997864546431,0.6759629959845695,0.0,89.0,1916.0,1
4200,0,0.8230299811939727,0.6590148326832481,1.0,37.0,1918.0,1
4200,2,0.7,0.8528148019661642,2.5,56.0,2302.0,4
4200,3,0.855819679130985,0.7742680245673207,3.0,105.5,2304.5,100
4200,5,0.835287667370992,0.7466541512176159,3.0,102.0,2228.0,65
4200,0,0.9543433744216371,0.9707408843339189,3.0,94.0,2301.5,58
4200,6,1.0,0.795128834727103,3.0,112.0,2147.0,91
4200,10,0.825276621043744,0.6459523973747427,3.0,101.0,2290.5,92
4200,1,1.0,0.720696615295209,2.0,147.5,1608.0,2
4200,0,0.9209749608192028,0.6061070181980946,3.0,105.0,2226.0,58
