seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued
-6428363631088496663,1000,250,4,20,4,0.95,0.6,1.0,74,16,4,54,176,1283,0,62,6470,83
-6267493761240272853,1000,250,4,20,4,0.95,0.6,1.0,86,19,1,66,164,1646,0,80,6861,82
6545074575731977326,1000,250,4,20,4,0.95,0.6,1.0,125,18,2,105,125,2115,0,103,8212,88
8474770544392116112,1000,250,4,20,4,0.95,0.6,1.0,123,18,2,103,127,1879,0,113,8714,59
-4587593217758069001,1000,250,4,20,4,0.95,0.6,1.0,133,15,5,113,117,2475,0,129,11442,67
2954177754759530948,1000,250,4,20,4,0.95,0.6,1.0,63,16,4,43,187,756,0,60,3910,77
-3553196197794226492,1000,250,4,20,4,0.95,0.6,1.0,84,15,5,64,166,1664,0,71,5878,82
1777863772089313774,1000,250,4,20,4,0.95,0.6,1.0,138,13,7,118,112,2216,0,128,9954,84
6018519887981703229,1000,250,4,20,4,0.95,0.6,1.0,69,15,5,49,181,1219,0,64,5269,64
428115575054805239,1000,250,4,20,4,0.95,0.6,1.0,109,18,2,89,141,1848,0,89,9406,66
4519229352714292246,1000,250,4,20,4,0.95,0.6,1.0,45,18,2,25,205,540,0,43,2943,89
-6134276089590610169,1000,250,4,20,4,0.95,0.6,1.0,58,17,3,38,192,1000,0,53,4290,80
-184212588107204262,1000,250,4,20,4,0.95,0.6,1.0,55,20,0,35,195,646,0,44,4272,109
-1195487621355313983,1000,250,4,20,4,0.95,0.6,1.0,46,19,1,26,204,505,0,42,3032,100
3894582147454468358,1000,250,4,20,4,0.95,0.6,1.0,62,18,2,42,188,904,0,57,4468,72
-2880303387340895056,1000,250,4,20,4,0.95,0.6,1.0,128,19,1,108,122,2223,0,123,10373,63
7057987415460777851,1000,250,4,20,4,0.95,0.6,1.0,92,19,1,72,158,1408,0,88,7768,62
8474713700585821408,1000,250,4,20,4,0.95,0.6,1.0,163,16,4,143,87,2928,0,145,10362,56
-788434160519264518,1000,250,4,20,4,0.95,0.6,1.0,146,12,8,126,104,3076,0,136,9729,76
