seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued
3582250224927794345,1000,250,4,0,4,1.0,0.6,1.0,79,0,0,79,171,1695,0,80,5757,77
4332507737565058687,1000,250,4,0,4,1.0,0.6,1.0,71,0,0,71,179,1040,0,75,3629,67
6935260535654948406,1000,250,4,0,4,1.0,0.6,1.0,90,0,0,90,160,1747,0,93,6095,88
-5673591000728293882,1000,250,4,0,4,1.0,0.6,1.0,53,0,0,53,197,918,0,57,3459,68
7715750792847247747,1000,250,4,0,4,1.0,0.6,1.0,81,0,0,81,169,1486,0,83,6614,70
-4143759945162097798,1000,250,4,0,4,1.0,0.6,1.0,99,0,0,99,151,1898,0,100,6043,64
7284705619789797296,1000,250,4,0,4,1.0,0.6,1.0,67,0,0,67,183,1087,0,70,3003,73
-6385390610161167288,1000,250,4,0,4,1.0,0.6,1.0,104,0,0,104,146,2077,0,107,6840,94
-2582915634170756237,1000,250,4,0,4,1.0,0.6,1.0,132,0,0,132,118,2524,0,136,9498,60
-8038147606369877102,1000,250,4,0,4,1.0,0.6,1.0,104,0,0,104,146,1845,0,106,7364,80
-1544893377457834006,1000,250,4,0,4,1.0,0.6,1.0,98,0,0,98,152,1926,0,100,8250,71
6920110552836347245,1000,250,4,0,4,1.0,0.6,1.0,66,0,0,66,184,1190,0,68,5454,76
-822621951643604856,1000,250,4,0,4,1.0,0.6,1.0,105,0,0,105,145,1845,0,109,7308,67
-158749192599442151,1000,250,4,0,4,1.0,0.6,1.0,108,0,0,108,142,2171,0,111,9248,125
2641825426085489177,1000,250,4,0,4,1.0,0.6,1.0,31,0,0,31,219,438,0,34,1473,72
3359970452604599792,1000,250,4,0,4,1.0,0.6,1.0,84,0,0,84,166,1902,0,88,6404,73
