seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued,humansDynamic,zombiesDynamic,rescuedDynamic,killedDynamic,zombifiedDynamic,fleeDynamic,pursueDynamic,humansGoneDynamic,zombiesGoneDynamic
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,9,44,1,0,0,4,16,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,8,44,1,0,0,0,30,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,7,45,0,0,1,9,36,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,7,45,0,0,0,2,18,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,7,45,0,0,0,7,40,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,7,45,0,0,0,9,62,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,1,1,7,19,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,1,16,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,0,2,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,0,0,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,0,0,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,0,2,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,1,10,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,0,4,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,4,10,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,12,10,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,0,10,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,1,10,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,0,4,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,0,0,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,2,10,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,0,4,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,0,0,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,0,0,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,3,9,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,6,10,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,2,10,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,6,45,0,0,0,1,10,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,5,46,0,0,1,4,10,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,5,46,0,0,0,5,29,0,0
