seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued,humansDynamic,zombiesDynamic,rescuedDynamic,killedDynamic,zombifiedDynamic,fleeDynamic,pursueDynamic,humansGoneDynamic,zombiesGoneDynamic
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,18,6,0,1,0,0,46,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,6,1,0,0,0,35,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,6,0,0,0,0,47,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,6,0,0,0,0,50,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,5,0,1,0,0,45,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,4,0,1,0,0,30,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,4,0,0,0,0,32,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,4,0,0,0,0,39,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,4,0,0,0,0,40,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,3,0,1,0,0,26,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,2,0,1,0,0,27,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,2,0,0,0,0,20,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,2,0,0,0,0,19,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,2,0,0,0,0,20,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,1,0,1,0,0,13,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,17,1,0,0,0,0,10,0,0
