seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued,killed,humansDynamic,zombiesDynamic,rescuedDynamic,killedDynamic,zombifiedDynamic,fleeDynamic,pursueDynamic,humansGoneDynamic,zombiesGoneDynamic
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,3,1,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,3,0,0,0,0,30,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,2,0,1,0,0,25,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,2,0,0,0,0,18,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,20,2,0,0,0,0,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,1,0,0,0,17,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,0,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,0,19,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,5,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,6,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,5,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,5,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,6,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,4,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,5,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,2,0,0,0,4,20,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,1,0,4,15,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,0,0,4,10,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,0,0,8,10,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,0,0,5,10,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,1,0,0,0,7,10,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,1,0,2,3,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,19,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,1,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
12,1000,250,4,20,4,1.0,0.6,1.0,58,0,2,56,174,1469,18,0,10398,112,62,18,0,0,0,0,0,0,0,0
