runningHumansAvg,runningHumansMSE,runningHumansMed,runningZombiesAvg,runningZombiesMSE,runningZombiesMed,seed,walkingHumansAvg,walkingHumansMSE,walkingHumansMed,walkingZombiesAvg,walkingZombiesMSE,walkingZombiesMed
62.07,21.843193447845483,59.0,144.03,35.273348295845125,147.5,2640027318543314598,36.8,16.84873882520588,35.0,8.23,15.597983844074214,1.5
60.26,22.199378369675134,59.0,146.86,35.114390212561005,149.5,5926762656345853542,35.05,16.56343865264698,32.5,8.92,16.7132761599873,1.0
58.72,22.02820010804333,57.0,149.69,34.46206465085922,152.0,-20651414730185460,33.37,16.607621744247428,30.5,9.21,16.844165161859465,1.5
56.82,21.874359419192142,55.5,152.17,33.8230853116625,154.5,7764731015139727657,31.9,16.702993743637695,28.0,10.02,16.726015664227987,3.5
54.58,21.300319246433848,51.5,155.66,33.44225470867657,161.0,-2030465002754530632,30.29,16.964843058513686,26.0,10.24,17.086322014991985,2.0
52.44,21.030606268008537,47.5,158.67,34.200308478140954,164.0,-4622393485448709227,29.0,16.51302516197441,25.5,10.58,18.192954680315122,2.5
50.56,21.038688172032018,46.0,161.4,34.49724626691238,167.5,7842604651187610864,27.94,15.811274458436296,24.0,10.71,19.87274263910244,3.0
48.83,21.077976658114032,44.5,162.89,34.28436815809794,168.5,-7469697200042955190,27.05,15.253442234459738,23.0,11.8,21.470910553583888,3.0
47.28,21.046652940550903,43.5,164.76,33.91227506375825,170.5,-2486646850758399464,26.03,14.941522680101917,22.0,12.45,22.24696608528902,2.0
45.91,21.109758406954825,41.0,166.76,33.89605286755376,173.0,5520081421302813854,24.75,14.553607800129836,22.0,13.01,22.502664286701698,3.0
44.35,21.17138398877126,39.5,168.11,34.0055568988364,174.5,-709883045243058715,23.61,14.147717130335902,20.5,14.3,23.1,3.5
42.59,20.699321244910422,39.0,169.69,32.01833693370097,175.0,9096601530042246552,22.43,13.736269508130654,19.0,15.58,20.757254153668793,6.5
41.25,20.397732717142855,37.5,171.43,30.762072426935077,174.5,8372119327273061483,20.98,13.102656219255692,17.0,16.56,20.105382363934286,7.5
39.47,19.799219681593513,35.0,173.6,30.628418176588884,178.0,1444360362808216244,19.95,12.73057343563125,16.0,17.15,21.076705150473593,7.0
37.59,18.93837110207739,33.5,174.71,29.465673248714346,179.5,2579286872287739633,18.78,12.121534556317531,15.0,18.99,22.11311601742278,10.0
35.83,18.489486201622807,33.0,176.27,29.543478129698954,182.0,-3799602626907811252,17.63,11.395310438948124,15.0,20.28,23.3662491641256,10.5
34.27,17.871124754754522,31.5,176.41,30.563407859726635,183.5,-790771222030164053,16.87,11.322239177830506,14.0,22.43,25.37961977650571,12.0
32.84,17.440022935764734,30.0,176.83,30.575171299601905,183.5,-7808502333367799663,16.27,10.718073520927163,14.0,23.97,27.0962931044082,12.0
31.27,16.47109893115817,28.0,179.05,28.86082985639879,186.5,8563622001149845685,15.74,10.518193761288103,13.0,23.82,26.40090149975943,12.5
30.33,16.286224240136203,26.5,179.96,27.009228052648975,186.5,-4496967933517894653,14.57,10.291992032643629,11.5,25.01,25.343438993159545,16.0
28.9,15.754047099079015,25.0,179.72,27.53146563479685,187.0,1697557043248058572,14.01,10.266932355869496,11.0,27.19,27.088261295254817,21.0
28.07,15.413795768726139,24.5,180.56,27.68260103386241,182.5,2897635367623901218,13.41,9.7232659122334,10.0,27.72,27.349252274970887,21.0
27.22,14.982376313522499,24.5,183.03,26.865388513848064,186.0,7088826780576608292,12.54,9.003799198116313,10.0,26.94,27.13441357391016,18.0
26.38,14.659317855889476,23.5,183.55,27.194622630218646,189.5,841645291750117582,11.82,8.424226967502715,10.0,27.96,28.300855110755922,19.5
25.34,14.035113109626156,23.0,182.92,27.633921183936238,185.5,-6423318729992589688,11.54,8.387395304860743,9.0,29.87,30.141551054980564,20.0
24.15,13.332197868318634,22.0,182.58,28.644434014307212,187.5,2636854331338362782,11.14,8.066002727497679,9.0,31.75,31.576375662827424,18.0
22.94,12.7285662978986,21.0,183.04,27.807883774210513,186.5,2636854331338362782,10.81,7.87362051409642,9.0,32.81,31.135412314597666,22.5
21.96,12.336871564541797,20.0,186.34,27.824888139936878,192.0,2636854331338362782,10.31,7.608804111028224,8.0,30.93,29.921983557244335,20.0
21.13,11.641868406746404,19.0,186.15,27.586364385326316,192.0,2636854331338362782,9.65,7.60969776009534,8.0,32.57,30.267558540457152,23.0
20.3,11.236992480196825,18.0,184.15,28.642756501426334,191.0,2636854331338362782,9.22,7.136637863868391,8.0,35.81,32.600826676635066,23.0
19.34,10.584157973121906,17.0,182.64,34.502034722607306,192.0,2636854331338362782,8.95,6.880951969022889,7.0,38.55,38.85624145488082,23.5
18.62,10.381502781389601,16.0,182.63,37.13533492510872,188.5,2636854331338362782,8.45,6.3566893899261725,7.0,39.69,42.359578609802064,27.0
17.88,10.036214425768316,16.0,181.03,36.86501186762322,187.0,2636854331338362782,8.25,6.2902702644640005,6.0,42.21,42.66527745134209,35.0
17.24,9.700639154200097,15.5,181.99,36.75363791517787,189.0,2636854331338362782,7.69,5.881657929529734,6.0,42.43,42.8133752465278,37.0
16.55,9.542929319658612,15.0,182.12,35.9060663398262,188.0,2636854331338362782,7.41,5.473746431832589,6.0,43.25,41.58446224252515,40.0
