runningHumansAvg,runningHumansMSE,runningHumansMed,runningZombiesAvg,runningZombiesMSE,runningZombiesMed,seed,walkingHumansAvg,walkingHumansMSE,walkingHumansMed,walkingZombiesAvg,walkingZombiesMSE,walkingZombiesMed
102.89,14.48025897558465,104.0,74.83,25.10818790753327,71.0,4724050676720803578,74.32,14.81747616836282,75.5,0.98,2.8248185782453406,0.0
101.42,15.234946668761264,103.5,77.71,25.907255740429175,73.5,-2377638351684825359,72.55,14.949498319341691,75.0,1.32,4.21397674412188,0.0
99.98,15.904703706765492,102.0,80.66,26.434908738257448,76.5,-9060453980590959748,70.63,15.207008252776088,73.0,1.71,5.109393310364753,0.0
97.52,16.65201489309927,100.0,84.03,27.22074760178345,80.5,-1108396726118089762,69.1,15.56373991044569,70.0,2.23,6.584610846511741,0.0
96.0,17.991664736760743,98.0,87.18,28.517145719724475,83.0,-7074448009484172569,67.02,15.126123098798319,68.0,2.59,6.980107449029701,0.0
94.28,18.133990184181748,96.0,90.96,30.0289593559284,87.5,-7391107814593226583,64.99,15.760390223595351,66.5,2.52,6.997828234531052,0.0
92.25,18.30812661087966,92.0,94.22,30.453761672410852,92.5,-359473931581831084,63.32,16.474756447365163,64.0,2.93,7.741130408409352,0.0
90.37,18.182769316031045,92.0,97.71,30.958131403558582,95.5,-334213861994971866,61.69,16.396764924825877,63.5,2.87,8.105128006391999,0.0
88.51,18.29562516013049,89.0,101.2,31.06670243202519,98.5,-7234299174211076471,59.81,16.67554796700846,61.0,3.02,7.92083328949675,0.0
87.0,18.837197243751522,88.5,104.9,31.719867591148617,101.5,-2053335891892708387,57.04,16.814826790663055,58.0,3.53,8.458670108238056,0.0
84.45,19.40122418817947,84.5,108.7,31.915983456569215,108.0,8118347990385993287,55.4,17.13475999248311,56.0,3.82,8.645669436197533,0.0
82.08,19.614117364796208,83.5,112.45,32.38313604331735,111.0,-3859636632699123167,53.34,17.734835775952366,54.0,4.41,9.511146092874393,0.0
79.94,19.679847560385216,81.5,115.69,32.46065156462513,114.0,8842591426794086969,51.82,17.981312521615322,50.5,4.73,10.128035347489666,0.0
77.85,20.059598699874332,80.0,118.82,33.34917690138693,116.0,-6091015109891905105,49.96,17.897999888255672,50.0,5.46,12.071801853907324,0.0
75.92,21.077798746548467,76.5,122.35,33.57152811535395,121.5,-5236458286268361954,47.86,17.351668507668073,49.0,5.85,13.491756742544682,0.0
74.08,20.954083134320143,73.5,125.14,33.790833076442496,124.5,-8287563728225693290,46.31,17.57480867605676,46.5,6.37,15.171456752731427,0.0
71.81,21.246032570811895,72.5,128.49,34.25361148842557,131.0,-285149293520920965,44.94,17.33483198649471,45.0,6.59,15.274223384512887,0.0
69.65,21.52457897381503,68.5,131.96,33.79849700800319,134.5,-3691440552304834437,43.19,16.99923233560857,44.0,6.92,15.909544305227591,0.0
67.58,21.617668699468968,66.5,134.38,33.02265283104917,137.5,7489926866970942170,41.49,16.670629862125782,41.5,8.17,17.483166189223265,0.0
65.85,22.06235481538632,65.0,137.71,32.462376684401896,139.0,9114207596113242049,38.98,15.97621982823221,37.0,8.97,17.956867766957572,1.0
63.7,22.07962862006514,62.0,140.13,32.49943230273415,140.0,4477226104988932167,37.74,15.811780418409562,36.0,9.9,18.734193337317716,1.0
61.63,21.75943703315874,57.5,143.36,32.44981355878643,144.0,-2638450263388370473,36.14,15.697146237453481,34.5,10.23,18.505056065843203,2.0
59.29,21.69575764982638,55.5,147.99,32.35011437383182,150.5,7321181388962560047,34.31,15.523334049101695,33.0,9.72,16.391509997556664,2.0
57.29,21.546366282972173,55.0,150.93,31.693612921218055,153.0,3849520933663342220,32.63,15.76302953115295,30.5,10.35,16.332406436284888,2.0
55.35,21.69948156062721,52.0,153.98,32.9751360876646,156.5,-2346722424821510211,30.93,15.295917756055044,27.5,10.87,18.254125561088934,2.5
53.45,21.321057666072758,50.0,156.22,32.95590387168892,159.0,6596399684232408927,29.61,15.261648010617986,26.0,11.7,19.211715175902434,2.0
51.47,21.45201855304064,48.5,157.31,32.9052260287025,160.5,7836952713073754459,28.17,14.806792360264934,24.5,13.95,22.21007654196626,3.5
49.59,21.371520769472635,46.0,159.38,32.076090784258604,163.5,-154541016677565952,26.64,14.3669899422252,24.0,15.23,22.61364853357369,5.0
48.18,21.248237573973046,45.0,161.07,33.03732888718457,164.5,1157964094281246964,25.21,14.184706553186077,22.0,16.36,25.13066652518392,5.0
46.2,20.641705355905067,44.0,163.08,32.884549563586845,167.5,-6497025473395903612,24.19,14.050405688093136,20.5,17.28,25.63555343658491,6.5
44.3,20.4384441677932,39.5,165.1,32.00453092922938,169.0,-4517208200082972539,23.24,13.834102789845101,19.5,18.04,24.178469761339315,6.5
42.23,19.58767724871941,37.0,168.25,31.65355430279513,173.0,-3141527077332212032,22.24,13.892530367071368,18.0,17.84,23.352824240335465,6.0
