runningHumansAvg,runningHumansMSE,runningHumansMed,runningZombiesAvg,runningZombiesMSE,runningZombiesMed,walkingHumansAvg,walkingHumansMSE,walkingHumansMed,walkingZombiesAvg,walkingZombiesMSE,walkingZombiesMed
128.786,8.97330507672621,129.0,29.254,9.585274330972496,28.0,95.524,9.522364412266542,95.0,0.099,0.7843462245717837,0.0
127.401,8.869847743901815,127.0,30.914,10.143599164004858,30.0,95.23,9.705828146016193,95.0,0.093,0.8211887724512514,0.0
125.97,9.061296816681374,126.0,32.716,10.726851541808529,32.0,94.777,10.077265055559469,95.0,0.153,1.5276095705382176,0.0
124.73,8.99650487689524,125.0,34.569,11.335838698570134,33.0,94.119,10.038467960799593,94.0,0.161,1.6891059765449794,0.0
123.455,9.058364918681523,124.0,36.508,12.069794364445498,35.0,93.398,10.39690319277812,94.0,0.191,1.81122030686498,0.0
122.255,9.276635974317415,123.0,38.52,12.860777581468387,37.0,92.562,10.421427733281087,93.0,0.183,1.5752812447305915,0.0
120.859,9.53158533508461,121.0,40.589,13.679184149648691,39.0,91.791,10.929470206739213,92.0,0.248,1.89644298622445,0.0
119.676,9.821457325672194,120.0,42.868,14.642697019333562,41.0,90.647,11.19805300041039,91.0,0.26,1.9550959055759807,0.0
118.423,10.073830999178016,119.0,45.213,15.423087596198098,43.0,89.503,11.554046520591813,90.0,0.28,2.0580573364218964,0.0
116.96,10.573381672861334,117.0,47.743,16.53242120803846,46.0,88.343,11.93948704928315,89.0,0.33,2.342455976107154,0.0
115.669,10.83057888572906,116.0,50.376,17.47296837975734,49.0,86.911,12.203977998996839,88.0,0.382,2.4613159082084652,0.0
114.116,11.05208324253845,115.0,53.029,18.452863165373547,51.0,85.742,12.508294687926096,86.0,0.414,2.579651914503196,0.0
112.706,11.434315195935431,114.0,55.751,19.310800061105684,53.0,84.278,12.80010609331032,85.0,0.508,2.7992741916432484,0.0
111.236,11.948401734123275,112.0,58.56,20.14940197623741,56.0,82.912,13.185304547108487,83.0,0.497,2.7698359157177532,0.0
109.831,12.331116697201436,111.0,61.434,20.899656552201986,59.0,81.345,13.311873459434619,82.0,0.557,2.868928545642098,0.0
108.409,12.69510610432226,110.0,64.243,21.651834818324282,62.0,79.815,13.670800086315358,81.0,0.662,3.172027112116173,0.0
106.904,12.830774879172344,108.0,67.127,22.321130594125403,66.0,78.296,14.214724197113378,79.0,0.749,3.24283810881765,0.0
105.362,13.125584025101512,106.0,70.091,23.139721670754817,68.5,76.718,14.581237121725973,77.0,0.857,3.6508288100100907,0.0
103.727,13.431249792926941,105.0,73.046,23.884595119030177,71.0,75.177,14.964881255793514,75.5,1.017,4.171655666518949,0.0
102.097,13.757455833111,103.0,76.103,24.53316920008503,75.0,73.558,15.120735299581169,74.0,1.157,4.472622385133802,0.0
100.357,14.165435079799014,102.0,79.283,25.35387368825521,78.0,71.969,15.382198770006836,73.0,1.255,4.8062433354959815,0.0
98.703,14.337530854369582,99.0,82.434,25.930284302336545,81.0,70.287,15.64585028050568,71.0,1.382,5.234699227271781,0.0
97.104,14.542667705754683,98.0,85.647,26.488495446136636,85.0,68.427,15.928988385958483,69.0,1.569,5.866961649780886,0.0
95.34,14.973456514779752,97.0,89.175,27.30861356788364,88.0,66.468,16.250014646147243,67.0,1.686,6.230361466239341,0.0
93.56,15.192248023251848,94.0,92.495,27.94601894724899,92.0,64.706,16.66858014349152,65.0,1.845,6.279568058393858,0.0
